Product Name,Price String,User Review Text
Asus VivoBook...,$295.99,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Prestigio Smar...,$299,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Prestigio Smar...,$299,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Aspire E1-510,$306.99,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Lenovo V110-15...,$321.94,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Lenovo V110-15...,$356.49,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Hewlett Packar...,$364.46,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Acer Aspire 3...,$372.7,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Acer Aspire A3...,$379.94,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Acer Aspire ES...,$379.95,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Acer Aspire 3...,$391.48,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Acer Aspire 3...,$393.88,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Asus VivoBook...,$399,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Asus VivoBook...,$399.99,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Lenovo ThinkPa...,$404.23,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Acer Aspire 3...,$408.98,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Lenovo V110-15...,$409.63,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Acer Aspire ES...,$410.46,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Asus VivoBook...,$410.66,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Packard 255 G2,$416.99,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Asus EeeBook R...,$433.3,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Acer Aspire 3...,$436.29,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Acer Aspire ES...,$436.29,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Acer Extensa 1...,$439.73,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Acer Aspire ES...,$454.62,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Lenovo V110-15...,$454.73,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Acer Aspire A3...,$457.38,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Lenovo V110-15...,$465.95,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Asus VivoBook...,$468.56,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Acer Aspire ES...,$469.1,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Lenovo V510 Bl...,$484.23,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Acer Aspire ES...,$485.9,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Lenovo V510 Bl...,$487.8,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Acer Swift 1 S...,$488.64,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Dell Vostro 15,$488.78,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Acer Aspire 3...,$494.71,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Dell Vostro 15...,$497.17,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Lenovo V510 Bl...,$498.23,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
HP 250 G3,$520.99,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Acer Spin 5,$564.98,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
HP 350 G1,$577.99,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Aspire E1-572G,$581.99,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Pavilion,$609.99,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Acer Aspire A5...,$679,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Dell Inspiron...,$679,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Asus VivoBook...,$729,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
ProBook,$739.99,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Inspiron 15,$745.99,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Asus ROG STRIX...,$799,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Acer Nitro 5 A...,$809,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Asus ROG STRIX...,$899,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Lenovo ThinkPa...,$999,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
ThinkPad Yoga,$1033.99,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Lenovo ThinkPa...,$1096.02,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Dell Inspiron...,$1098.42,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
MSI GL72M 7RDX,$1099,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
MSI GL72M 7RDX,$1099,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Asus ROG Strix...,$1101.83,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Dell Latitude...,$1102.66,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Dell Latitude...,$1110.14,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Lenovo Legion...,$1112.91,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Toshiba Porteg...,$1114.55,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Acer Predator...,$1123.87,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Acer Aspire 7...,$1123.87,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Dell Inspiron...,$1124.2,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Dell Latitude...,$1133.82,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Lenovo Legion...,$1133.91,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Asus AsusPro A...,$1139.54,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Acer Nitro 5 A...,$1140.62,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Dell Latitude...,$1143.4,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Dell Inspiron...,$1144.2,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Dell Latitude...,$1144.4,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Lenovo Legion...,$1149,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
MSI GP62M 7RDX...,$1149,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Lenovo Yoga 72...,$1149.73,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Toshiba Porteg...,$1154.04,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Acer TravelMat...,$1170.1,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Dell Latitude...,$1178.19,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
ThinkPad T540p,$1178.99,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
MSI GS63 7RD S...,$1179,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Dell Latitude...,$1187.88,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Acer Predator...,$1187.98,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
MSI GL62M 7REX,$1199,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
MSI GL62M 7REX...,$1199,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Lenovo Yoga 91...,$1199.73,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Toshiba Porteg...,$1203.41,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Lenovo IdeaPad...,$1212.16,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Acer Predator...,$1221.58,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
ThinkPad Yoga,$1223.99,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Asus VivoBook...,$1235.49,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Dell Latitude...,$1238.37,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Asus ZenBook U...,$1239.2,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
ThinkPad X230,$1244.99,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Asus ROG Strix...,$1259,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Apple MacBook...,$1260.13,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Dell Latitude...,$1271.06,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Hewlett Packar...,$1273.11,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Dell XPS 13,$1281.99,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Toshiba Porteg...,$1294.74,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
MSI GL62VR 7RF...,$1299,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Dell Latitude...,$1310.39,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
ThinkPad X240,$1311.99,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Hewlett Packar...,$1326.83,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Apple MacBook...,$1333,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Dell Latitude...,$1337.28,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Dell Latitude...,$1338.37,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Dell Latitude...,$1341.22,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Apple MacBook...,$1347.78,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Lenovo ThinkPa...,$1349.23,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
Lenovo ThinkPa...,$1362.24,"Disappointed. The screen arrived with a noticeable scratch, and the system speaker sounds distorted and crackly."
Toshiba Porteg...,$1366.32,"Very middle of the road. It runs quiet, but the storage space is way too low for modern needs."
Asus ASUSPRO B...,$1381.13,Incredible performance! Runs heavy video editing software smoothly without a single hitch. Love it!
Lenovo Legion...,$1399,"Absolutely amazing laptop! Fast delivery, crisp display, and lightning performance. Highly recommend!"
Asus ROG Strix...,$1399,"Decent product for the price. It handles basic web browsing fine, but struggles quite a bit with heavy gaming."
Asus ROG Strix...,$1769,"Terrible experience. The battery dies in less than an hour, and it overheats constantly. Going to return it."
Asus ROG Strix...,$1769,"It is an okay device. Nothing spectacular, builds are average, but it works fine for school assignments."
Asus ROG Strix...,$1799,Outstanding quality! Best keyboard I have ever used. Worth every single penny.
